,0
0,X388743
1,X5284
2,X1510
3,X85414
4,X127124
5,X460
6,X462
7,X10223
8,X6258
9,X336
10,X142683
11,X55600
12,X3766
13,X1401
14,X9447
15,X910
16,X115350
17,X79368
18,X115352
19,X83416
20,X1382
21,X10485
22,X6273
23,X6278
24,X6279
25,X6706
26,X6704
27,X6700
28,X6703
29,X84648
30,X11189
31,X644591
32,X5174
33,X83998
34,X3158
35,X79679
36,X79574
37,X127003
38,X1301
39,X23566
40,X5733
41,X163782
42,X1579
43,X284654
44,X8431
45,X84676
46,X7780
47,X1269
48,X26279
49,X5320
50,X1187
51,X1188
52,X51702
53,X23569
54,X64600
55,X163933
56,X10136
57,X2134
58,X79727
59,X1580
60,X199974
61,X7809
62,X54596
63,X27022
64,X5737
65,X9635
66,X163351
67,X276
68,X388662
69,X3284
70,X23632
71,X3713
72,X6698
73,X6707
74,X6699
75,X6280
76,X6271
77,X57127
78,X63827
79,X909
80,X911
81,X913
82,X325
83,X477
84,X84824
85,X5396
86,X148753
87,X10216
88,X6003
89,X3078
90,X3080
91,X5317
92,X9283
93,X722
94,X1380
95,X56776
96,X256536
97,X253738
98,X119467
99,X118611
100,X196047
101,X143379
102,X644511
103,X1586
104,X1369
105,X55118
106,X6425
107,X5950
108,X6441
109,X729238
110,X55753
111,X207107
112,X51806
113,X810
114,X3698
115,X2625
116,X91074
117,X643236
118,X653509
119,X387695
120,X1791
121,X5076
122,X9118
123,X3026
124,X2018
125,X1755
126,X399823
127,X85442
128,X8433
129,X27287
130,X118471
131,X220296
132,X23584
133,X23650
134,X486
135,X335
136,X5450
137,X4322
138,X401
139,X222
140,X5790
141,X89792
142,X10235
143,X1128
144,X221091
145,X6947
146,X10249
147,X2346
148,X5897
149,X6506
150,X7490
151,X143662
152,X10083
153,X3263
154,X3048
155,X3047
156,X3045
157,X3043
158,X81285
159,X29125
160,X7054
161,X3630
162,X3481
163,X53841
164,X4588
165,X338707
166,X727897
167,X90019
168,X10077
169,X5896
170,X2147
171,X92292
172,X932
173,X931
174,X4246
175,X10647
176,X4250
177,X7356
178,X55867
179,X1474
180,X256472
181,X2348
182,X374407
183,X7069
184,X7299
185,X619383
186,X2893
187,X4684
188,X345
189,X643
190,X7379
191,X50614
192,X5053
193,X50511
194,X25834
195,X55117
196,X7103
197,X11197
198,X121355
199,X4778
200,X3851
201,X3848
202,X3852
203,X3853
204,X286887
205,X3854
206,X23017
207,X1280
208,X55885
209,X8076
210,X57379
211,X9573
212,X6540
213,X359787
214,X79923
215,X144568
216,X160364
217,X387841
218,X4033
219,X362
220,X269
221,X3226
222,X118430
223,X283375
224,X8091
225,X8549
226,X374462
227,X8092
228,X4922
229,X196475
230,X9971
231,X4604
232,X5992
233,X23316
234,X1840
235,X6144
236,X1638
237,X1361
238,X2322
239,X1045
240,X10804
241,X2254
242,X8900
243,X341640
244,X10562
245,X8796
246,X10082
247,X9071
248,X266722
249,X6656
250,X8115
251,X327657
252,X256394
253,X866
254,X2877
255,X3169
256,X253970
257,X1511
258,X7051
259,X6037
260,X6036
261,X122706
262,X10202
263,X2290
264,X5083
265,X7253
266,X23768
267,X1113
268,X5267
269,X5104
270,X12
271,X9623
272,X8788
273,X55384
274,X51458
275,X646
276,X1136
277,X1583
278,X9543
279,X8483
280,X8854
281,X50506
282,X255189
283,X54866
284,X4308
285,X4948
286,X644844
287,X825
288,X405753
289,X283652
290,X2252
291,X29106
292,X1381
293,X9154
294,X440387
295,X181
296,X1014
297,X85320
298,X283897
299,X10595
300,X348158
301,X2813
302,X146556
303,X84891
304,X9074
305,X1504
306,X3039
307,X64714
308,X10232
309,X10942
310,X124220
311,X79412
312,X123876
313,X50615
314,X930
315,X6693
316,X51327
317,X84290
318,X6530
319,X4504
320,X3291
321,X794
322,X3240
323,X1800
324,X4884
325,X2302
326,X2125
327,X350
328,X974
329,X4353
330,X1277
331,X10481
332,X3218
333,X2670
334,X6521
335,X5539
336,X3872
337,X3868
338,X3861
339,X3866
340,X3860
341,X54474
342,X84951
343,X342667
344,X124925
345,X7448
346,X4239
347,X23495
348,X433
349,X5023
350,X342527
351,X9032
352,X482
353,X8456
354,X10642
355,X8913
356,X3773
357,X146664
358,X83882
359,X2642
360,X28513
361,X6317
362,X6318
363,X29906
364,X6860
365,X57565
366,X1825
367,X83539
368,X361
369,X4158
370,X645369
371,X116
372,X1830
373,X7276
374,X5596
375,X51046
376,X5268
377,X5275
378,X5178
379,X199713
380,X3036
381,X11012
382,X5655
383,X11202
384,X5650
385,X5653
386,X25818
387,X9622
388,X55554
389,X3816
390,X9476
391,X256236
392,X6822
393,X284340
394,X5452
395,X478
396,X1087
397,X1178
398,X3960
399,X3963
400,X11184
401,X126393
402,X374897
403,X388533
404,X2657
405,X1311
406,X1995
407,X94025
408,X84467
409,X566
410,X5657
411,X1991
412,X55655
413,X10297
414,X85300
415,X6370
416,X388512
417,X652995
418,X284434
419,X1463
420,X933
421,X26330
422,X11045
423,X8190
424,X1048
425,X4680
426,X973
427,X64344
428,X6689
429,X354
430,X3817
431,X402665
432,X59284
433,X57348
434,X547
435,X150677
436,X1293
437,X3769
438,X92737
439,X7857
440,X5077
441,X5798
442,X2066
443,X23671
444,X4036
445,X2641
446,X6344
447,X2019
448,X7849
449,X2168
450,X926
451,X6439
452,X347730
453,X5068
454,X5968
455,X9027
456,X9378
457,X79623
458,X338
459,X192668
460,X7173
461,X6664
462,X3777
463,X56896
464,X11117
465,X6519
466,X525
467,X5967
468,X1496
469,X4118
470,X7535
471,X5455
472,X445582
473,X130013
474,X92196
475,X3676
476,X1281
477,X7429
478,X8941
479,X1674
480,X3623
481,X250
482,X54575
483,X54600
484,X54578
485,X79054
486,X189
487,X3785
488,X128414
489,X5740
490,X140730
491,X11122
492,X90187
493,X3170
494,X164312
495,X80332
496,X1114
497,X5126
498,X3642
499,X5075
500,X3172
501,X60598
502,X5266
503,X10406
504,X5105
505,X128602
506,X1908
507,X1299
508,X79444
509,X6285
510,X29947
511,X7031
512,X7032
513,X7033
514,X7113
515,X9073
516,X114614
517,X10215
518,X116448
519,X84677
520,X5121
521,X1292
522,X23209
523,X6663
524,X5816
525,X4151
526,X29802
527,X3543
528,X23532
529,X6545
530,X9402
531,X27254
532,X7380
533,X55586
534,X347
535,X131578
536,X6750
537,X89857
538,X6474
539,X53836
540,X1356
541,X84107
542,X131034
543,X56667
544,X54763
545,X79413
546,X55211
547,X25890
548,X389136
549,X131177
550,X4057
551,X57467
552,X7476
553,X55287
554,X375323
555,X4585
556,X10777
557,X10803
558,X6997
559,X3697
560,X11148
561,X29114
562,X2596
563,X7348
564,X152015
565,X55
566,X7018
567,X51208
568,X7545
569,X1360
570,X7104
571,X6657
572,X90113
573,X197
574,X3273
575,X3827
576,X9370
577,X8626
578,X10686
579,X205860
580,X2823
581,X9464
582,X11341
583,X50859
584,X2266
585,X2243
586,X131
587,X51316
588,X2638
589,X7363
590,X79799
591,X9407
592,X6691
593,X389206
594,X8929
595,X9982
596,X116449
597,X4487
598,X6286
599,X57733
600,X10568
601,X80157
602,X26228
603,X7364
604,X213
605,X658
606,X2244
607,X2891
608,X11199
609,X132625
610,X92304
611,X26762
612,X2196
613,X6690
614,X2201
615,X353189
616,X2297
617,X5618
618,X64902
619,X51151
620,X1501
621,X6531
622,X25859
623,X9607
624,X170591
625,X635
626,X28965
627,X202374
628,X117156
629,X1044
